integration,direction,mechanism,evidence,source_file,target_context,owner_role,owner_status
findProductLookupOptions,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:findProductLookupOptions,applications/manufacturing/servicedef/services_bom.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
findWarehouses,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:findWarehouses,applications/manufacturing/servicedef/services_bom.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
manufacturingPermissionService,outbound-or-adapter-review-required,rmi,groovy:component://common/src/main/groovy/org/apache/ofbiz/common/permission/CommonPermissionServices.groovy:genericBasePermissionCheck,applications/manufacturing/servicedef/services_calendar.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
findCostComponentOptions,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:findCostComponentOptions,applications/manufacturing/servicedef/services_lookup.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
findManufacturingFacilities,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:findManufacturingFacilities,applications/manufacturing/servicedef/services_lookup.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
findManufacturingPlants,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:findManufacturingPlants,applications/manufacturing/servicedef/services_lookup.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
findFixedAssets,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:findFixedAssets,applications/manufacturing/servicedef/services_lookup.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
searchProducts,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:searchProducts,applications/manufacturing/servicedef/services_lookup.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
searchParties,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:searchParties,applications/manufacturing/servicedef/services_lookup.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
findPlanningFacilities,outbound-or-adapter-review-required,ups,groovy:component://manufacturing/src/main/groovy/org/apache/ofbiz/manufacturing/api/ManufacturingLookupServices.groovy:findManufacturingFacilities,applications/manufacturing/servicedef/services_mrp.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
updatePartyEmailContactListParty,outbound-or-adapter-review-required,email;mail,simple:component://marketing/minilang/marketing/contact/ContactListServices.xml:updatePartyEmailContactListParty,applications/marketing/servicedef/services.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
sendContactListPartyVerifyEmail,outbound-or-adapter-review-required,email;mail,simple:component://marketing/minilang/marketing/contact/ContactListServices.xml:sendContactListPartyVerifyEmail,applications/marketing/servicedef/services.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
sendContactListPartySubscribeEmail,outbound-or-adapter-review-required,email;mail,simple:component://marketing/minilang/marketing/contact/ContactListServices.xml:sendContactListPartySubscribeEmail,applications/marketing/servicedef/services.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
sendContactListPartyUnSubscribeVerifyEmail,outbound-or-adapter-review-required,email;mail,simple:component://marketing/minilang/marketing/contact/ContactListServices.xml:sendContactListPartyUnSubscribeVerifyEmail,applications/marketing/servicedef/services.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
sendContactListPartyUnSubscribeEmail,outbound-or-adapter-review-required,email;mail,simple:component://marketing/minilang/marketing/contact/ContactListServices.xml:sendContactListPartyUnSubscribeEmail,applications/marketing/servicedef/services.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
marketingPermissionService,outbound-or-adapter-review-required,rmi,simple:component://common/minilang/permission/CommonPermissionServices.xml:genericBasePermissionCheck,applications/marketing/servicedef/services.xml,marketing-sales,marketing-product-team,provisional-repository-inferred
sendPOEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.order.order.OrderServices:sendPOEmail,applications/order/servicedef/services.xml,order-management,order-product-team,provisional-repository-inferred
orderAdjustmentPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://order/minilang/order/OrderSimpleMethods.xml:orderAdjustmentPermissionCheck,applications/order/servicedef/services.xml,order-management,order-product-team,provisional-repository-inferred
checkSupplierRelatedOrderPermission,outbound-or-adapter-review-required,rmi,groovy:component://order/src/main/groovy/org/apache/ofbiz/order/order/OrderDeliveryServices.groovy:checkSupplierRelatedOrderPermissionService,applications/order/servicedef/services.xml,order-management,order-product-team,provisional-repository-inferred
findOrders,outbound-or-adapter-review-required,ups,java:org.apache.ofbiz.order.order.OrderLookupServices:findOrders,applications/order/servicedef/services.xml,order-management,order-product-team,provisional-repository-inferred
moveItemBetweenShipGroups,outbound-or-adapter-review-required,ups,groovy:component://order/src/main/groovy/org/apache/ofbiz/order/order/OrderServicesScript.groovy:moveItemBetweenShipGroups,applications/order/servicedef/services.xml,order-management,order-product-team,provisional-repository-inferred
updateShipGroupShipInfo,outbound-or-adapter-review-required,ups,java:org.apache.ofbiz.order.order.OrderServices:updateShipGroupShipInfo,applications/order/servicedef/services.xml,order-management,order-product-team,provisional-repository-inferred
prepareVendorShipGroups,outbound-or-adapter-review-required,ups,java:org.apache.ofbiz.order.shoppingcart.ShoppingCartServices:prepareVendorShipGroups,applications/order/servicedef/services_cart.xml,order-management,order-product-team,provisional-repository-inferred
returnPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://order/minilang/permission/PermissionServices.xml:returnPermissionCheck,applications/order/servicedef/services_perm.xml,order-management,order-product-team,provisional-repository-inferred
sendQuoteReportMail,outbound-or-adapter-review-required,mail,java:org.apache.ofbiz.order.quote.QuoteServices:sendQuoteReportMail,applications/order/servicedef/services_quote.xml,order-management,order-product-team,provisional-repository-inferred
custRequestPermissionCheck,outbound-or-adapter-review-required,rmi,simple:component://order/minilang/request/CustRequestServices.xml:custRequestPermissionCheck,applications/order/servicedef/services_request.xml,order-management,order-product-team,provisional-repository-inferred
lookupParty,outbound-or-adapter-review-required,ups,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/LookupServices.groovy:lookupParty,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
findPartyFromEmailAddress,outbound-or-adapter-review-required,email;mail,simple:component://party/minilang/contact/PartyContactMechServices.xml:findPartyFromEmailAddress,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createPartyEmailAddress,outbound-or-adapter-review-required,email;mail,simple:component://party/minilang/contact/PartyContactMechServices.xml:createPartyEmailAddress,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
updatePartyEmailAddress,outbound-or-adapter-review-required,email;mail,simple:component://party/minilang/contact/PartyContactMechServices.xml:updatePartyEmailAddress,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createPartyFtpAddress,outbound-or-adapter-review-required,ftp,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:createPartyFtpAddress,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
updatePartyFtpAddress,outbound-or-adapter-review-required,ftp,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:updatePartyFtpAddress,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createCommunicationEventWithoutPermission,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/communication/CommunicationEventServicesScript.groovy:createCommunicationEventWithoutPermission,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createCommunicationEventRoleWithoutPermission,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/communication/CommunicationEventServicesScript.groovy:createCommunicationEventRole,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendCommEventAsEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.communication.CommunicationEventServices:sendCommEventAsEmail,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendCommEventAsFtp,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.party.communication.CommunicationEventServices:sendCommEventAsFtp,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createCommEventFromFtpTransfer,outbound-or-adapter-review-required,ftp,java:org.apache.ofbiz.party.communication.CommunicationEventServices:createCommEventFromFtpTransfer,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createCommEventFromEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.communication.CommunicationEventServices:createCommEventFromEmail,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
updateCommEventAfterEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.communication.CommunicationEventServices:updateCommEventAfterEmail,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
storeIncomingEmail,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.communication.CommunicationEventServices:storeIncomingEmail,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendEmailToContactList,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.communication.CommunicationEventServices:sendEmailToContactList,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendEmailDated,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/communication/CommunicationEventServicesScript.groovy:sendEmailDated,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
getPartyEmail,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyServicesScript.groovy:getPartyEmail,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendUpdatePersonalInfoEmailNotification,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyServicesScript.groovy:sendUpdatePersonalInfoEmailNotification,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendCreatePartyEmailNotification,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyServicesScript.groovy:sendCreatePartyEmailNotification,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
createEmailAddressVerification,outbound-or-adapter-review-required,email;mail,java:org.apache.ofbiz.party.contact.ContactMechServices:createEmailAddressVerification,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
sendVerifyEmailAddressNotification,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:sendVerifyEmailAddressNotification,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
verifyEmailAddress,outbound-or-adapter-review-required,email;mail,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/contact/ContactMechServicesScript.groovy:verifyEmailAddress,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyBasePermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:basePermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
basePermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:basePermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyIdPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:basePlusPartyIdPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyStatusPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:partyStatusPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyGroupPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:partyGroupPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyDatasourcePermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:partyDatasourcePermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyRolePermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:partyRolePermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyRelationshipPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:partyRelationshipPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
partyContactMechPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:partyContactMechPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
accAndDecPartyInvitationPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:accAndDecPartyInvitationPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
cancelPartyInvitationPermissionCheck,outbound-or-adapter-review-required,rmi,groovy:component://party/src/main/groovy/org/apache/ofbiz/party/party/PartyPermissionServices.groovy:cancelPartyInvitationPermissionCheck,applications/party/servicedef/services.xml,party-customer,customer-product-team,provisional-repository-inferred
